date,campaign_id,channel,segment,discount_rate,impressions,clicks,sessions,add_to_cart,purchases,ad_spend,aov,revenue,ctr,cvr,roas
2025-01-01,C01002,Paid Search,New,0.2798,164571,4222,3854,498,124,6438.06,83.96,10410.98,0.02565458069769279,0.03217436429683446,1.6170989397427173
2025-01-01,C01002,Paid Search,Returning,0.2798,70530,1643,1488,152,59,2175.35,62.6,3693.48,0.02329505175102793,0.0396505376344086,1.6978785023099732
2025-01-01,C01005,Paid Social,New,0.2798,215693,2532,2252,156,40,2598.58,86.88,3475.21,0.011738906686818765,0.017761989342806393,1.3373496294129872
2025-01-01,C01005,Paid Social,Returning,0.2798,92439,1229,1028,102,28,1338.93,66.67,1866.77,0.013295254167613237,0.027237354085603113,1.3942252395569597
2025-01-01,C01003,TikTok,New,0.2798,264609,2818,2372,231,38,2134.86,53.73,2041.63,0.010649675559032384,0.016020236087689713,0.9563296890662619
2025-01-01,C01003,TikTok,Returning,0.2798,113404,1081,936,66,11,812.58,71.69,788.57,0.009532291629924871,0.011752136752136752,0.9704521400969751
2025-01-01,C01004,Email,New,0.2798,11011,717,674,56,25,0.0,75.0,1874.89,0.06511670148033784,0.037091988130563795,
2025-01-01,C01004,Email,Returning,0.2798,33035,2262,2029,182,184,0.0,80.96,14895.78,0.06847283184501286,0.09068506653523903,
2025-01-01,C01001,Affiliate,New,0.2798,48400,1055,922,96,26,150.67,84.38,2193.94,0.021797520661157026,0.028199566160520606,14.561226521537137
2025-01-01,C01001,Affiliate,Returning,0.2798,32266,625,541,61,17,93.07,93.52,1589.83,0.019370234922209136,0.031423290203327174,17.082088750402924
2025-01-02,C01016,Paid Search,New,0.3102,152219,3480,3362,433,112,6025.64,48.58,5440.93,0.022861797804479073,0.03331350386674598,0.9029630047596604
2025-01-02,C01016,Paid Search,Returning,0.3102,65236,1448,1319,76,56,2399.54,77.92,4363.62,0.02219633331289472,0.04245640636846096,1.8185235503471497
2025-01-02,C01011,Paid Social,New,0.3102,258510,3219,2754,319,53,3200.89,74.08,3926.44,0.012452129511430892,0.01924473493100944,1.2266713320357776
2025-01-02,C01011,Paid Social,Returning,0.3102,110790,1544,1363,114,44,1557.63,73.36,3227.77,0.01393627583716942,0.032281731474688186,2.072231531236558
2025-01-02,C01016,TikTok,New,0.3102,252279,2864,2485,231,29,1920.47,48.88,1417.5,0.011352510514152982,0.011670020120724347,0.7381005691315147
2025-01-02,C01016,TikTok,Returning,0.3102,108120,1144,956,101,15,814.78,87.2,1308.05,0.010580836108028117,0.015690376569037656,1.6054026853874666
2025-01-02,C01011,Email,New,0.3102,11360,743,663,65,34,0.0,102.66,3490.47,0.06540492957746478,0.05128205128205128,
